Command line
python /work02/home/wangzihan/anaconda3/envs/chemprop/bin/chemprop_train --target_columns reag2 --data_path ./data/GCN_data_withN/GCN_data_train.csv --separate_val_path ./data/GCN_data_withN/GCN_data_val.csv --separate_test_path ./data/GCN_data_withN/GCN_data_test.csv --dataset_type multiclass --multiclass_num_classes 2746 --save_dir ./data/new_models_1/GCN_reag2_withN --reaction --extra_metrics accuracy top3 --epochs 25
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': './data/GCN_data_withN/GCN_data_train.csv',
 'data_weights_path': None,
 'dataset_type': 'multiclass',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 25,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': ['accuracy', 'top3'],
 'features_generator': None,
 'features_only': False,
 'features_path': None,
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'cross_entropy',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'cross_entropy',
 'metrics': ['cross_entropy', 'accuracy', 'top3'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 2746,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quiet': False,
 'reaction': True,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': './data/new_models_1/GCN_reag2_withN',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': None,
 'separate_test_path': './data/GCN_data_withN/GCN_data_test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': None,
 'separate_val_path': './data/GCN_data_withN/GCN_data_val.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['reaction'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['reag2'],
 'target_weights': None,
 'task_names': ['reag2'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': False,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 552,695 | train size = 552,695 | val size = 69,087 | test size = 69,087
Building model 0
MoleculeModel(
  (multiclass_softmax): Softmax(dim=2)
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=193, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=465, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=300, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=2746, bias=True)
  )
)
Number of parameters = 1,204,846
Moving model to cuda
Epoch 0
Loss = 7.3985e+00, PNorm = 41.7435, GNorm = 6.9426, lr_0 = 1.0045e-04
Loss = 6.4126e+00, PNorm = 41.7698, GNorm = 11.7675, lr_0 = 1.0085e-04
Loss = 4.7935e+00, PNorm = 41.8144, GNorm = 19.1116, lr_0 = 1.0126e-04
Loss = 1.7308e+00, PNorm = 41.8767, GNorm = 7.4331, lr_0 = 1.0167e-04
Loss = 7.7770e-01, PNorm = 41.9206, GNorm = 3.0693, lr_0 = 1.0208e-04
Loss = 6.4512e-01, PNorm = 41.9361, GNorm = 2.4262, lr_0 = 1.0248e-04
Loss = 6.6414e-01, PNorm = 41.9394, GNorm = 0.3780, lr_0 = 1.0289e-04
Loss = 5.1896e-01, PNorm = 41.9410, GNorm = 1.1885, lr_0 = 1.0330e-04
Loss = 4.5571e-01, PNorm = 41.9451, GNorm = 1.5504, lr_0 = 1.0370e-04
Loss = 4.0012e-01, PNorm = 41.9530, GNorm = 1.1479, lr_0 = 1.0411e-04
Loss = 5.1728e-01, PNorm = 41.9654, GNorm = 1.1175, lr_0 = 1.0452e-04
Loss = 5.4480e-01, PNorm = 41.9809, GNorm = 2.9807, lr_0 = 1.0493e-04
Loss = 6.2380e-01, PNorm = 41.9992, GNorm = 1.9602, lr_0 = 1.0533e-04
Loss = 5.6750e-01, PNorm = 42.0229, GNorm = 2.7921, lr_0 = 1.0574e-04
Loss = 4.5999e-01, PNorm = 42.0485, GNorm = 2.6579, lr_0 = 1.0615e-04
Loss = 4.4148e-01, PNorm = 42.0711, GNorm = 1.0467, lr_0 = 1.0655e-04
Loss = 5.2294e-01, PNorm = 42.0965, GNorm = 1.1431, lr_0 = 1.0696e-04
Loss = 5.4907e-01, PNorm = 42.1262, GNorm = 1.0278, lr_0 = 1.0737e-04
Loss = 5.0609e-01, PNorm = 42.1600, GNorm = 1.3113, lr_0 = 1.0778e-04
Loss = 3.7197e-01, PNorm = 42.1990, GNorm = 1.5321, lr_0 = 1.0818e-04
Loss = 5.0183e-01, PNorm = 42.2363, GNorm = 1.6512, lr_0 = 1.0859e-04
Loss = 3.4541e-01, PNorm = 42.2731, GNorm = 1.2823, lr_0 = 1.0900e-04
Loss = 6.2765e-01, PNorm = 42.3076, GNorm = 1.2066, lr_0 = 1.0940e-04
Loss = 4.1779e-01, PNorm = 42.3472, GNorm = 1.8070, lr_0 = 1.0981e-04
Loss = 6.1812e-01, PNorm = 42.3873, GNorm = 2.2996, lr_0 = 1.1022e-04
Loss = 4.9408e-01, PNorm = 42.4341, GNorm = 1.7469, lr_0 = 1.1063e-04
Loss = 5.3344e-01, PNorm = 42.4831, GNorm = 2.1095, lr_0 = 1.1103e-04
Loss = 3.8570e-01, PNorm = 42.5291, GNorm = 2.2291, lr_0 = 1.1144e-04
Loss = 4.9107e-01, PNorm = 42.5662, GNorm = 1.1348, lr_0 = 1.1185e-04
Loss = 3.7259e-01, PNorm = 42.5978, GNorm = 1.9086, lr_0 = 1.1225e-04
Loss = 3.8380e-01, PNorm = 42.6310, GNorm = 1.1088, lr_0 = 1.1266e-04
Loss = 4.1175e-01, PNorm = 42.6629, GNorm = 1.7374, lr_0 = 1.1307e-04
Loss = 5.0906e-01, PNorm = 42.6965, GNorm = 1.3332, lr_0 = 1.1348e-04
Loss = 3.1837e-01, PNorm = 42.7389, GNorm = 1.1255, lr_0 = 1.1388e-04
Loss = 5.5093e-01, PNorm = 42.7766, GNorm = 6.1764, lr_0 = 1.1429e-04
Loss = 5.1934e-01, PNorm = 42.8106, GNorm = 1.7955, lr_0 = 1.1470e-04
Loss = 4.0378e-01, PNorm = 42.8589, GNorm = 1.9314, lr_0 = 1.1510e-04
Loss = 4.2676e-01, PNorm = 42.9028, GNorm = 1.1508, lr_0 = 1.1551e-04
Loss = 4.7156e-01, PNorm = 42.9403, GNorm = 1.6036, lr_0 = 1.1592e-04
Loss = 4.9889e-01, PNorm = 42.9770, GNorm = 1.2145, lr_0 = 1.1633e-04
Loss = 3.7676e-01, PNorm = 43.0126, GNorm = 2.3838, lr_0 = 1.1673e-04
Loss = 4.9161e-01, PNorm = 43.0515, GNorm = 1.1504, lr_0 = 1.1714e-04
Loss = 4.3066e-01, PNorm = 43.0882, GNorm = 2.2160, lr_0 = 1.1755e-04
Loss = 4.4115e-01, PNorm = 43.1194, GNorm = 1.5696, lr_0 = 1.1795e-04
Loss = 3.3538e-01, PNorm = 43.1525, GNorm = 1.4128, lr_0 = 1.1836e-04
Loss = 5.0135e-01, PNorm = 43.1825, GNorm = 2.0908, lr_0 = 1.1877e-04
Loss = 4.8866e-01, PNorm = 43.2136, GNorm = 1.8709, lr_0 = 1.1918e-04
Loss = 5.5142e-01, PNorm = 43.2567, GNorm = 2.1458, lr_0 = 1.1958e-04
Loss = 4.2232e-01, PNorm = 43.2997, GNorm = 1.2580, lr_0 = 1.1999e-04
Loss = 3.2898e-01, PNorm = 43.3422, GNorm = 0.8081, lr_0 = 1.2040e-04
Loss = 6.6520e-01, PNorm = 43.3734, GNorm = 1.7445, lr_0 = 1.2080e-04
Loss = 3.7713e-01, PNorm = 43.4237, GNorm = 1.1996, lr_0 = 1.2121e-04
Loss = 4.8184e-01, PNorm = 43.4693, GNorm = 1.8926, lr_0 = 1.2162e-04
Loss = 3.3811e-01, PNorm = 43.5062, GNorm = 1.1397, lr_0 = 1.2203e-04
Loss = 4.0300e-01, PNorm = 43.5369, GNorm = 2.5299, lr_0 = 1.2243e-04
Loss = 5.3597e-01, PNorm = 43.5708, GNorm = 1.7883, lr_0 = 1.2284e-04
Loss = 4.8031e-01, PNorm = 43.6160, GNorm = 1.2908, lr_0 = 1.2325e-04
Loss = 3.6946e-01, PNorm = 43.6560, GNorm = 1.0276, lr_0 = 1.2365e-04
Loss = 3.8011e-01, PNorm = 43.6871, GNorm = 1.0382, lr_0 = 1.2406e-04
Loss = 6.7594e-01, PNorm = 43.7223, GNorm = 3.2610, lr_0 = 1.2447e-04
Loss = 4.9807e-01, PNorm = 43.7852, GNorm = 1.2910, lr_0 = 1.2488e-04
Loss = 3.0103e-01, PNorm = 43.8299, GNorm = 1.0484, lr_0 = 1.2528e-04
Loss = 6.1650e-01, PNorm = 43.8562, GNorm = 3.4334, lr_0 = 1.2569e-04
Loss = 4.0947e-01, PNorm = 43.8997, GNorm = 1.3190, lr_0 = 1.2610e-04
Loss = 4.2988e-01, PNorm = 43.9508, GNorm = 1.0173, lr_0 = 1.2650e-04
Loss = 3.9997e-01, PNorm = 43.9917, GNorm = 0.9153, lr_0 = 1.2691e-04
Loss = 4.6456e-01, PNorm = 44.0262, GNorm = 1.1342, lr_0 = 1.2732e-04
Loss = 4.2973e-01, PNorm = 44.0632, GNorm = 1.1733, lr_0 = 1.2773e-04
Loss = 4.2115e-01, PNorm = 44.0953, GNorm = 1.1687, lr_0 = 1.2813e-04
Loss = 4.0990e-01, PNorm = 44.1283, GNorm = 0.9981, lr_0 = 1.2854e-04
Loss = 4.1653e-01, PNorm = 44.1604, GNorm = 1.0202, lr_0 = 1.2895e-04
Loss = 4.0830e-01, PNorm = 44.1886, GNorm = 1.2074, lr_0 = 1.2935e-04
Loss = 4.4037e-01, PNorm = 44.2266, GNorm = 1.0072, lr_0 = 1.2976e-04
Loss = 5.7772e-01, PNorm = 44.2713, GNorm = 1.5791, lr_0 = 1.3017e-04
Loss = 5.1276e-01, PNorm = 44.3329, GNorm = 1.0760, lr_0 = 1.3058e-04
Loss = 4.7488e-01, PNorm = 44.3932, GNorm = 2.3108, lr_0 = 1.3098e-04
Loss = 3.2321e-01, PNorm = 44.4408, GNorm = 1.1202, lr_0 = 1.3139e-04
Loss = 4.8793e-01, PNorm = 44.4789, GNorm = 1.0876, lr_0 = 1.3180e-04
Loss = 5.0931e-01, PNorm = 44.5338, GNorm = 1.6125, lr_0 = 1.3220e-04
Loss = 5.7811e-01, PNorm = 44.5850, GNorm = 1.1941, lr_0 = 1.3261e-04
Loss = 5.3320e-01, PNorm = 44.6484, GNorm = 1.9376, lr_0 = 1.3302e-04
Loss = 6.1805e-01, PNorm = 44.7148, GNorm = 0.9738, lr_0 = 1.3343e-04
Loss = 3.9317e-01, PNorm = 44.7863, GNorm = 1.5755, lr_0 = 1.3383e-04
Loss = 4.4320e-01, PNorm = 44.8410, GNorm = 1.7731, lr_0 = 1.3424e-04
Loss = 3.7624e-01, PNorm = 44.8898, GNorm = 1.2788, lr_0 = 1.3465e-04
Loss = 4.4503e-01, PNorm = 44.9301, GNorm = 0.9884, lr_0 = 1.3505e-04
Loss = 4.4411e-01, PNorm = 44.9863, GNorm = 0.9903, lr_0 = 1.3546e-04
Loss = 4.8156e-01, PNorm = 45.0394, GNorm = 1.1079, lr_0 = 1.3587e-04
Loss = 4.2816e-01, PNorm = 45.0996, GNorm = 1.7113, lr_0 = 1.3628e-04
Loss = 4.4948e-01, PNorm = 45.1553, GNorm = 0.8655, lr_0 = 1.3668e-04
Loss = 4.8280e-01, PNorm = 45.2134, GNorm = 1.2608, lr_0 = 1.3709e-04
Loss = 4.0746e-01, PNorm = 45.2777, GNorm = 1.5613, lr_0 = 1.3750e-04
Loss = 4.7624e-01, PNorm = 45.3289, GNorm = 1.0678, lr_0 = 1.3790e-04
Loss = 3.5515e-01, PNorm = 45.3727, GNorm = 2.6429, lr_0 = 1.3831e-04
Loss = 3.9906e-01, PNorm = 45.4095, GNorm = 0.9594, lr_0 = 1.3872e-04
